"Quote tiếng Anh","Dịch tiếng Việt","Trích"
"“So we really ought to look into theories that don’t work, and science that isn’t science.”","Vì vậy, ta thật sự nên xem xét những lý thuyết không hiệu quả và thứ khoa học vốn không phải là khoa học.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“They’re doing everything right. The form is perfect.”","Họ làm mọi thứ có vẻ đúng. Hình thức thì hoàn hảo.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“But it doesn’t work. No airplanes land.”","Nhưng nó không hoạt động. Chẳng có chiếc máy bay nào hạ cánh.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“They’re missing something essential, because the planes don’t land.”","Họ đang thiếu một điều cốt yếu, bởi máy bay không hạ cánh.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“It’s a kind of scientific integrity, a principle of scientific thought.”","Đó là một dạng liêm chính khoa học, một nguyên tắc của tư duy khoa học.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“Details that could throw doubt on your interpretation must be given, if you know them.”","Nếu biết những chi tiết có thể khiến cách diễn giải của mình bị nghi ngờ, bạn phải nêu chúng ra.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“You must do the best you can—if you know anything at all wrong, or possibly wrong—to explain it.”","Bạn phải cố hết sức giải thích bất cứ điều gì mình biết là sai, hoặc có thể sai.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“The first principle is that you must not fool yourself—and you are the easiest person to fool.”","Nguyên tắc đầu tiên là bạn không được tự lừa mình — và chính bạn là người dễ bị mình lừa nhất.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“You are the easiest person to fool.”","Bạn là người dễ bị chính mình lừa nhất.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
"“You should not fool the layman when you’re talking as a scientist.”","Khi nói với tư cách nhà khoa học, bạn không nên đánh lừa người không chuyên.","Cargo Cult Science (Khoa học “sùng bái hàng hóa”) — Richard P. Feynman, Caltech Commencement Address (1974)"
